Time (s),Channel 1 (V)
-6.81E-05,-0.002676345
-6.80E-05,-0.002007572
-6.80E-05,-0.002341958
-6.80E-05,-0.001673185
-6.80E-05,-0.002676345
-6.80E-05,-0.001673185
-6.79E-05,-0.002341958
-6.79E-05,-0.003345118
-6.79E-05,-0.002341958
-6.79E-05,-0.002341958
-6.79E-05,-0.002676345
-6.78E-05,-0.002007572
-6.78E-05,-0.002341958
-6.78E-05,-0.002007572
-6.78E-05,-0.002676345
-6.78E-05,-0.002007572
-6.77E-05,-0.002007572
-6.77E-05,-0.002007572
-6.77E-05,-0.001004412
-6.77E-05,-0.003345118
-6.77E-05,-0.001673185
-6.76E-05,-0.001673185
-6.76E-05,-0.002341958
-6.76E-05,-0.002341958
-6.76E-05,-0.002341958
-6.76E-05,-0.001673185
-6.75E-05,-0.001338799
-6.75E-05,-0.002676345
-6.75E-05,-0.002676345
-6.75E-05,-0.001673185
-6.75E-05,-0.001338799
-6.74E-05,-0.001004412
-6.74E-05,-0.001673185
-6.74E-05,-0.001004412
-6.74E-05,-0.001673185
-6.74E-05,-0.002341958
-6.73E-05,-0.001338799
-6.73E-05,-0.001673185
-6.73E-05,-0.001338799
-6.73E-05,-0.001338799
-6.73E-05,-0.001338799
-6.72E-05,-0.002341958
-6.72E-05,-0.002341958
-6.72E-05,-0.001673185
-6.72E-05,-0.002676345
-6.72E-05,-0.001673185
-6.71E-05,-0.002341958
-6.71E-05,-0.003010732
-6.71E-05,-0.002341958
-6.71E-05,-0.001338799
-6.71E-05,-0.003679505
-6.70E-05,-0.005685825
-6.70E-05,-0.000670025
-6.70E-05,-0.001673185
-6.70E-05,-0.002007572
-6.70E-05,-0.000335639
-6.69E-05,-0.001673185
-6.69E-05,-0.002007572
-6.69E-05,-0.001338799
-6.69E-05,-0.002007572
-6.69E-05,-0.002007572
-6.68E-05,-0.001673185
-6.68E-05,-0.002341958
-6.68E-05,-0.001338799
-6.68E-05,-0.002341958
-6.68E-05,-0.001673185
-6.67E-05,-0.000670025
-6.67E-05,-0.001338799
-6.67E-05,-0.002341958
-6.67E-05,-0.003679505
-6.67E-05,-0.001673185
-6.66E-05,-0.002007572
-6.66E-05,-0.002676345
-6.66E-05,-0.001338799
-6.66E-05,-0.002676345
-6.66E-05,-0.001673185
-6.65E-05,-0.002341958
-6.65E-05,-0.002341958
-6.65E-05,-0.002007572
-6.65E-05,-0.002007572
-6.65E-05,-0.002341958
-6.64E-05,-0.002341958
-6.64E-05,-0.002676345
-6.64E-05,-0.001338799
-6.64E-05,-0.002341958
-6.64E-05,-0.001673185
-6.63E-05,-0.001673185
-6.63E-05,-0.003345118
-6.63E-05,-0.002676345
-6.63E-05,-0.003010732
-6.63E-05,-0.002341958
-6.62E-05,-0.002007572
-6.62E-05,-0.002676345
-6.62E-05,-0.002341958
-6.62E-05,-0.002007572
-6.62E-05,-0.002676345
-6.61E-05,-0.002341958
-6.61E-05,-0.002341958
-6.61E-05,-0.003010732
-6.61E-05,-0.002341958
-6.61E-05,-0.002007572
-6.60E-05,-0.002676345
-6.60E-05,-0.001673185
-6.60E-05,-0.002341958
-6.60E-05,-0.002341958
-6.60E-05,-0.001673185
-6.59E-05,-0.002341958
-6.59E-05,-0.002676345
-6.59E-05,-0.001004412
-6.59E-05,-0.001673185
-6.59E-05,-0.002007572
-6.58E-05,-0.003679505
-6.58E-05,-0.002007572
-6.58E-05,-0.003679505
-6.58E-05,-0.002341958
-6.58E-05,-0.002341958
-6.57E-05,-0.002341958
-6.57E-05,-0.002007572
-6.57E-05,-0.002341958
-6.57E-05,-0.003345118
-6.57E-05,-0.002007572
-6.56E-05,-0.002676345
-6.56E-05,-0.002007572
-6.56E-05,-0.002007572
-6.56E-05,-0.002341958
-6.56E-05,-0.002676345
-6.55E-05,-0.001338799
-6.55E-05,-0.003679505
-6.55E-05,-0.001673185
-6.55E-05,-0.002341958
-6.55E-05,-0.002007572
-6.54E-05,-0.002007572
-6.54E-05,-0.001673185
-6.54E-05,-0.002676345
-6.54E-05,-0.002341958
-6.54E-05,-0.001338799
-6.53E-05,-0.003010732
-6.53E-05,-0.002676345
-6.53E-05,-0.001673185
-6.53E-05,-0.002341958
-6.53E-05,-0.002676345
-6.52E-05,-0.002341958
-6.52E-05,-0.002676345
-6.52E-05,-0.002341958
-6.52E-05,-0.002007572
-6.52E-05,-0.002341958
-6.51E-05,-0.002341958
-6.51E-05,-0.001673185
-6.51E-05,-0.001673185
-6.51E-05,-0.002341958
-6.51E-05,-0.002676345
-6.50E-05,-0.001673185
-6.50E-05,-0.002676345
-6.50E-05,-0.002007572
-6.50E-05,-0.002676345
-6.50E-05,-0.001338799
-6.49E-05,-0.003010732
-6.49E-05,-0.002341958
-6.49E-05,-0.001004412
-6.49E-05,-0.002341958
-6.49E-05,-0.002007572
-6.48E-05,-0.002007572
-6.48E-05,-0.001673185
-6.48E-05,-0.003010732
