time	V(voa)	V(vosc)
1.547529721606281e-03	2.811776e+00	1.669500e+00
1.547797419294022e-03	2.839386e+00	1.791303e+00
1.548332814669503e-03	2.887483e+00	2.021414e+00
1.549164423322172e-03	2.950288e+00	2.349772e+00
1.550079346460609e-03	3.008211e+00	2.665979e+00
1.551407828139680e-03	3.075771e+00	3.043851e+00
1.552905508309734e-03	3.131577e+00	3.391372e+00
1.553134327720109e-03	3.138108e+00	3.434031e+00
1.553591966540860e-03	3.150301e+00	3.502120e+00
1.554507244182360e-03	3.169616e+00	3.603497e+00
1.556337799465362e-03	3.189623e+00	3.700308e+00
1.558643217845437e-03	3.183779e+00	3.659248e+00
1.561212031430134e-03	3.143732e+00	3.425744e+00
1.564023560769371e-03	3.068915e+00	3.024671e+00
1.564389771706871e-03	3.057005e+00	2.960476e+00
1.565122193581871e-03	3.032441e+00	2.817198e+00
1.566587037331871e-03	2.979504e+00	2.514960e+00
1.569516724831871e-03	2.859236e+00	1.884132e+00
1.570726627892146e-03	2.799370e+00	1.617933e+00
1.571393986305484e-03	2.757019e+00	1.470043e+00
1.571779508823047e-03	2.718699e+00	1.384628e+00
1.571981180943817e-03	2.681401e+00	1.339736e+00
1.572119787155950e-03	2.638497e+00	1.308502e+00
1.572390456493823e-03	2.521243e+00	1.246135e+00
1.572992729875601e-03	2.228308e+00	1.096700e+00
1.573601564976878e-03	1.905630e+00	9.290736e-01
1.574819235179433e-03	1.179721e+00	5.683076e-01
1.574990337079462e-03	1.068002e+00	5.138823e-01
1.575332540879520e-03	8.402488e-01	3.975276e-01
1.576016948479637e-03	3.588442e-01	1.502532e-01
1.577182838173016e-03	-5.407835e-01	-2.959902e-01
1.577304093781683e-03	-6.406382e-01	-3.449195e-01
1.577546604999018e-03	-8.425030e-01	-4.472411e-01
1.578031627433688e-03	-1.259107e+00	-6.596991e-01
1.579001672303028e-03	-2.143052e+00	-1.103684e+00
1.579492252361220e-03	-2.614413e+00	-1.337293e+00
1.579676017130917e-03	-2.735042e+00	-1.427082e+00
1.579803258264458e-03	-2.761734e+00	-1.489329e+00
1.580026614157954e-03	-2.793211e+00	-1.596755e+00
1.580197281256220e-03	-2.812831e+00	-1.676774e+00
1.580486227773183e-03	-2.842796e+00	-1.808496e+00
1.580882147660697e-03	-2.878171e+00	-1.981320e+00
1.581446216587621e-03	-2.922165e+00	-2.212008e+00
1.582195400886789e-03	-2.972473e+00	-2.491839e+00
1.583052533986121e-03	-3.021739e+00	-2.773637e+00
1.584149428763861e-03	-3.073244e+00	-3.076142e+00
1.585396056362156e-03	-3.118119e+00	-3.364215e+00
1.585572484005148e-03	-3.123179e+00	-3.398364e+00
1.585925339291132e-03	-3.132852e+00	-3.455857e+00
1.586631049863101e-03	-3.149185e+00	-3.549464e+00
1.588042471007038e-03	-3.170678e+00	-3.665032e+00
1.590199621121756e-03	-3.178210e+00	-3.704615e+00
1.592264706887080e-03	-3.160818e+00	-3.604625e+00
1.594228033706581e-03	-3.125626e+00	-3.391387e+00
1.596304320977647e-03	-3.072299e+00	-3.084785e+00
1.596614113324599e-03	-3.062972e+00	-3.031447e+00
1.597233698018502e-03	-3.043750e+00	-2.914588e+00
1.598472867406309e-03	-3.002378e+00	-2.667125e+00
1.600951206181923e-03	-2.909650e+00	-2.144380e+00
1.603556320731414e-03	-2.788451e+00	-1.577451e+00
1.604315119797176e-03	-2.730522e+00	-1.410307e+00
1.604649207615846e-03	-2.669972e+00	-1.336189e+00
1.604810385057988e-03	-2.613887e+00	-1.299814e+00
1.605116671570854e-03	-2.475046e+00	-1.228761e+00
1.605805522664744e-03	-2.133982e+00	-1.055555e+00
1.606340085014718e-03	-1.845894e+00	-9.084777e-01
1.607012664296901e-03	-1.454007e+00	-7.072763e-01
1.608184841706451e-03	-6.921035e-01	-3.293740e-01
1.608337100964145e-03	-5.848562e-01	-2.769972e-01
1.608641619479533e-03	-3.669612e-01	-1.674690e-01
1.608908073180498e-03	-1.704154e-01	-6.889782e-02
1.608984202809345e-03	-1.133741e-01	-4.013266e-02
1.609136462067039e-03	1.995969e-03	1.818339e-02
1.609440980582427e-03	2.378779e-01	1.365720e-01
1.609517110211275e-03	2.981318e-01	1.666685e-01
1.609669369468969e-03	4.194944e-01	2.280158e-01
1.609973887984357e-03	6.673368e-01	3.538310e-01
1.610582925015133e-03	1.183393e+00	6.180877e-01
1.611800999076686e-03	2.295467e+00	1.173504e+00
1.612121870217269e-03	2.605195e+00	1.326296e+00
1.612275926062471e-03	2.721135e+00	1.401796e+00
1.612369041885972e-03	2.748036e+00	1.447512e+00
1.612643948380006e-03	2.789047e+00	1.580246e+00
1.612831208204781e-03	2.811561e+00	1.668205e+00
1.613063804412123e-03	2.835515e+00	1.774416e+00
1.613528996826808e-03	2.878398e+00	1.975981e+00
1.614360620574026e-03	2.942656e+00	2.309088e+00
1.615220514136228e-03	2.998616e+00	2.612549e+00
1.616553567252369e-03	3.068574e+00	3.024565e+00
1.616736965909187e-03	3.076675e+00	3.074374e+00
1.617103763222822e-03	3.092138e+00	3.161479e+00
1.617837357850092e-03	3.119328e+00	3.322129e+00
1.618020756506910e-03	3.125226e+00	3.358326e+00
1.618387553820545e-03	3.136434e+00	3.421725e+00
1.619121148447815e-03	3.155459e+00	3.525269e+00
1.620588337702355e-03	3.180822e+00	3.648012e+00
1.623299212373566e-03	3.188734e+00	3.673347e+00
1.625989243788279e-03	3.154716e+00	3.489642e+00
1.628491754468549e-03	3.094103e+00	3.145350e+00
1.631421441968549e-03	2.997890e+00	2.604713e+00
1.634351129468549e-03	2.881050e+00	1.990263e+00
1.636288233996760e-03	2.785516e+00	1.564333e+00
1.637031817080714e-03	2.727039e+00	1.399125e+00
1.637374702102956e-03	2.658999e+00	1.322461e+00
1.637540741120424e-03	2.597107e+00	1.284644e+00
1.637869412416599e-03	2.444753e+00	1.207384e+00
1.638316327240645e-03	2.224271e+00	1.094712e+00
1.638912213672707e-03	1.907949e+00	9.305010e-01
1.640103986536830e-03	1.198095e+00	5.774838e-01
1.640281514992981e-03	1.082343e+00	5.210503e-01
1.640636571905283e-03	8.461977e-01	4.003342e-01
1.641346685729887e-03	3.460042e-01	1.434721e-01
1.642516348284704e-03	-5.590374e-01	-3.052195e-01
1.642640186031565e-03	-6.613289e-01	-3.553425e-01
1.642887861525287e-03	-8.681611e-01	-4.601977e-01
1.643383212512731e-03	-1.295258e+00	-6.780587e-01
1.644373914487619e-03	-2.202332e+00	-1.133512e+00
1.644862561692710e-03	-2.668901e+00	-1.367100e+00
1.645042338167062e-03	-2.750202e+00	-1.454938e+00
1.645207765375535e-03	-2.775181e+00	-1.535450e+00
1.645321109214050e-03	-2.791780e+00	-1.589871e+00
1.645445199378773e-03	-2.805657e+00	-1.648433e+00
1.645679528229141e-03	-2.831567e+00	-1.756799e+00
1.645921965933146e-03	-2.854451e+00	-1.865570e+00
1.646340005805038e-03	-2.890681e+00	-2.045559e+00
1.646766599998439e-03	-2.922863e+00	-2.217788e+00
1.647619788385240e-03	-2.979883e+00	-2.532338e+00
1.648458102426149e-03	-3.026766e+00	-2.803923e+00
1.649610432399834e-03	-3.079822e+00	-3.114341e+00
1.650843211945559e-03	-3.122312e+00	-3.391039e+00
1.651026441864408e-03	-3.127513e+00	-3.425172e+00
1.651392901702106e-03	-3.137112e+00	-3.482157e+00
1.652125821377502e-03	-3.153099e+00	-3.573299e+00
1.653591660728294e-03	-3.173230e+00	-3.680088e+00
1.655782760592898e-03	-3.177492e+00	-3.696403e+00
1.658077183028642e-03	-3.153819e+00	-3.554617e+00
1.660332713595270e-03	-3.107488e+00	-3.278011e+00
1.662472675033353e-03	-3.046759e+00	-2.932017e+00
1.662773228351085e-03	-3.037010e+00	-2.876484e+00
1.663374334986549e-03	-3.017024e+00	-2.757049e+00
1.664576548257476e-03	-2.974564e+00	-2.508105e+00
1.666980974799331e-03	-2.880245e+00	-1.991201e+00
1.669504784594279e-03	-2.743353e+00	-1.437145e+00
1.670125383419672e-03	-2.608536e+00	-1.298397e+00
1.670359444783457e-03	-2.508223e+00	-1.244520e+00
1.670879561123258e-03	-2.254769e+00	-1.117171e+00
1.671537441704289e-03	-1.908378e+00	-9.418343e-01
1.671988224847818e-03	-1.652943e+00	-8.122107e-01
1.672574163994626e-03	-1.299017e+00	-6.326315e-01
1.673288732748121e-03	-8.332158e-01	-3.955868e-01
1.674291095726850e-03	-1.165721e-01	-3.015809e-02
1.675553380927018e-03	8.913988e-01	4.675268e-01
1.675766688565122e-03	1.074904e+00	5.574559e-01
1.676193303841330e-03	1.448585e+00	7.478865e-01
1.677046534393746e-03	2.234993e+00	1.142306e+00
1.677399121092043e-03	2.574547e+00	1.310812e+00
1.677542835934214e-03	2.700299e+00	1.381172e+00
1.677620404524785e-03	2.735301e+00	1.419353e+00
1.677762142921714e-03	2.762532e+00	1.488703e+00
1.677969147932920e-03	2.791497e+00	1.587807e+00
1.678245154614528e-03	2.822619e+00	1.716172e+00
1.678626809041608e-03	2.859772e+00	1.885641e+00
1.679390117895768e-03	2.922401e+00	2.201638e+00
1.680169489269885e-03	2.976357e+00	2.489146e+00
1.681541617548261e-03	3.053451e+00	2.937048e+00
1.681722020080823e-03	3.061972e+00	2.989247e+00
1.682082825145946e-03	3.078319e+00	3.081113e+00
1.682804435276194e-03	3.107298e+00	3.240537e+00
1.684247655536688e-03	3.151399e+00	3.508222e+00
1.684510949818490e-03	3.157267e+00	3.547315e+00
1.685037538382095e-03	3.167904e+00	3.605457e+00
1.686090715509304e-03	3.182884e+00	3.678463e+00
1.688197069763722e-03	3.190128e+00	3.702568e+00
1.690434317375342e-03	3.168968e+00	3.584067e+00
1.692555699485779e-03	3.126443e+00	3.360726e+00
1.692921910423279e-03	3.116949e+00	3.310069e+00
1.693013463157654e-03	3.114543e+00	3.295949e+00
1.693196568626404e-03	3.109671e+00	3.267093e+00
1.693562779563904e-03	3.099579e+00	3.208133e+00
1.693654332298279e-03	3.096972e+00	3.193033e+00
1.693837437767029e-03	3.091702e+00	3.162032e+00
1.694203648704529e-03	3.080844e+00	3.098041e+00
1.694936070579529e-03	3.057930e+00	2.962945e+00
1.696400914329529e-03	3.007883e+00	2.672077e+00
1.699330601829529e-03	2.893632e+00	2.052958e+00
1.701620343184973e-03	2.782355e+00	1.552566e+00
1.702402097117830e-03	2.715225e+00	1.379384e+00
1.702737685596345e-03	2.631530e+00	1.304182e+00
1.702940202431661e-03	2.544943e+00	1.257789e+00
1.703300102336528e-03	2.374361e+00	1.171828e+00
1.703660002241394e-03	2.194487e+00	1.080630e+00
1.704019902146261e-03	2.005322e+00	9.841938e-01
1.704379802051127e-03	1.806865e+00	8.825202e-01
1.704739701955994e-03	1.599117e+00	7.756090e-01
1.705099601860860e-03	1.382078e+00	6.634603e-01
1.705459501765727e-03	1.155748e+00	5.460740e-01
1.707000311971491e-03	7.832041e-02	-1.419729e-02
1.709187896545329e-03	-1.749337e+00	-9.077636e-01
1.709464987433438e-03	-2.008256e+00	-1.032611e+00
1.710019169209656e-03	-2.536472e+00	-1.297898e+00
1.710170776468559e-03	-2.678549e+00	-1.371685e+00
1.710256315862654e-03	-2.728729e+00	-1.413767e+00
1.710341129533487e-03	-2.748575e+00	-1.455405e+00
1.710613028535432e-03	-2.790334e+00	-1.586326e+00
1.710869353289055e-03	-2.819878e+00	-1.706032e+00
1.711178062690289e-03	-2.850607e+00	-1.845492e+00
1.711616787983056e-03	-2.888536e+00	-2.034889e+00
1.712083804749012e-03	-2.924082e+00	-2.223451e+00
1.712896009463345e-03	-2.978002e+00	-2.522557e+00
1.713750279874384e-03	-3.026059e+00	-2.799070e+00
1.714882058779085e-03	-3.078011e+00	-3.104042e+00
1.716140756103057e-03	-3.121687e+00	-3.386485e+00
1.716319140109237e-03	-3.126633e+00	-3.419740e+00
1.716675908121595e-03	-3.135983e+00	-3.475299e+00
1.717389444146313e-03	-3.151644e+00	-3.564776e+00
1.718816516195748e-03	-3.171714e+00	-3.670820e+00
1.721038673829504e-03	-3.176770e+00	-3.691294e+00
1.723316801920104e-03	-3.153798e+00	-3.554801e+00
1.725557345382168e-03	-3.108372e+00	-3.303898e+00
1.725823545557564e-03	-3.101530e+00	-3.265282e+00
1.726355945908355e-03	-3.087351e+00	-3.178851e+00
1.726489045996053e-03	-3.083635e+00	-3.156563e+00
1.726755246171449e-03	-3.076086e+00	-3.110376e+00
1.727287646522241e-03	-3.060349e+00	-3.014184e+00
1.728352447223824e-03	-3.026540e+00	-2.809213e+00
1.730482048626990e-03	-2.951029e+00	-2.371918e+00
